Bureau of Justice Statistics,
Filename: cp16sbat01.csv,
"Appendix table 1. Capital offenses, by state, 2016",
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",
"Data source: National Prisoner Statistics program (NPS-8), 2016",
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,
Date of version: 4/30/2018,
,
"Appendix table 1. Capital offenses, by state, 2016",
State,Offenses
Alabama,Intentional murder (Ala. Stat. Ann. 13A-5-40(a)(1)-(18)) with 10 aggravating factors (Ala. Stat. Ann. 13A-5-49).
Arizona,"First-degree murder, including premeditated murder and felony murder, accompanied by at least 1 of 14 aggravating factors (A.R.S. § 13-703(F))."
Arkansas,Capital murder (Ark. Code Ann. § 5-10-101) with a finding of at least 1 of 10 aggravating circumstances; treason (Ark. Code Ann. § 5-51-201).
California,First-degree murder with special circumstances; military sabotage; death in the course of train wrecking; treason; perjury resulting in execution of an innocent person; fatal assault by a prisoner serving a life sentence.
Colorado,First-degree murder with at least 1 of 17 aggravating factors; first-degree kidnapping resulting in death; treason. 
Delaware,First-degree murder (11 Del. C. § 636) with at least one statutory aggravating circumstance (11 Del. C. § 4209).
Florida,First-degree murder with aggravating factors; felony murder.
Georgia,"Murder with aggravating circumstances; rape, armed robbery, or kidnapping with bodily injury or ransom when the victim dies; aircraft hijacking; treason (O.C.G.A. § 17-10-30)."
Idaho,First-degree murder with aggravating factors; first-degree kidnapping; perjury resulting in the execution of an innocent person.
Indiana,Murder with 18 aggravating circumstances (I.C. 35-50-2-9).
Kansas,Intentional and premeditated killing of a person in one or more of seven different circumstances (K.S.A. 21-5401).
Kentucky,Capital murder with the presence of at least one statutory aggravating circumstance; capital kidnapping (K.R.S. 532.025).
Louisiana,First-degree murder with aggravating circumstances (La. R.S. 14:30); treason (La. R.S. 14:113).
Mississippi,Capital murder with aggravating circumstances (Miss. Code Ann. § 97-3-19(2)); aircraft piracy (Miss. Code Ann. § 97-25-55(1)).
Missouri,First-degree murder with at least 1 statutory aggravating circumstance (565.020 R.S.M.O. 2000).
Montana,Capital murder with one of nine aggravating circumstances (Mont. Code Ann. § 46-18-303); aggravated kidnapping; felony murder; capital sexual intercourse without consent (Mont. Code Ann. § 45-5-503).
Nebraska,First-degree murder with a finding of one or more statutory aggravating circumstances.
Nevada,"First-degree murder with at least 1 of 15 aggravating circumstances (N.R.S. 200.030, 200.033, 200.035)."
New Hampshire,"Murder committed in the course of rape, kidnapping, drug crimes, or home invasion; killing of a police officer, judge, or prosecutor; murder for hire; murder by an inmate while serving a sentence of life without parole (R.S.A. 630:1, R.S.A. 630:5). "
New Mexico/a,First-degree murder with at least one of seven aggravating factors (N.M.S.A. 1978 § 31-20A-5).
New York/b,First-degree murder with 1 of 13 aggravating factors (NY Penal Law §125.27).
North Carolina,First-degree murder (N.C.G.S. §14-17) with the finding of at least 1 of 11 statutory aggravating circumstances (N.C.G.S. § 15A-2000).
Ohio,"Aggravated murder with at least 1 of 10 aggravating circumstances (O.R.C. 2903.01, 2929.02, and 2929.04)."
Oklahoma,First-degree murder in conjunction with a finding of at least one of eight statutorily defined aggravating circumstances.
Oregon,Aggravated murder (O.R.S. 163.095).
Pennsylvania,First-degree murder with 18 aggravating circumstances.
South Carolina,Murder with at least 1 of 12 aggravating circumstances (§ 16-3-20(C)(a)).
South Dakota,First-degree murder with 1 of 10 aggravating circumstances (S.D.C.L. 23A-27A-1).
Tennessee,First-degree murder (Tenn. Code Ann. § 39-13-202) with 1 of 15 aggravating circumstances (Tenn. Code Ann. § 39-13-204).
Texas,Criminal homicide with one of nine aggravating circumstances (Tex. Penal Code § 19.03).
Utah,Aggravated murder (Utah Code Ann. § 76-5-202).
Virginia,Pre-meditated murder with 1 of 15 aggravating circumstances (VA Code § 18.2-31(1-15)).
Washington,Aggravated first-degree murder.
Wyoming,"First-degree murder; murder during the commission of sexual assault, sexual abuse of a minor, arson, robbery, burglary, escape, resisting arrest, kidnapping, or abuse of a minor under 16 (W.S.A. § 6-2-101(a))."
"a/New Mexico enacted a prospective appeal of its capital statute as of July 1, 2009. Offenders who committed capital offenses prior to that date are eligible for the death penalty.",
"b/The New York Court of Appeals has held that a portion of New York’s death penalty sentencing statute (C.P.L. 400.27) was unconstitutional (People v. Taylor, 9 N.Y.3d 129 (2007)). No legislative action has been taken to amend the statute. As a result, capital cases are no longer pursued in New York.",
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",
