Bureau of Justice Statistics,,,,,,,
Filename: cp16sbat03.csv,,,,,,,
"Appendix table 3. Authorized methods of execution, by state, 2016",,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,
Date of version: 4/30/2018,,,,,,,
,,,,,,,
"Appendix table 3. Authorized methods of execution, by state, 2016",,,,,,,
Jurisdiction,,Lethal injection,Electrocution,Lethal gas ,Hanging,Firing squad,Nitrogen hypoxia
,Total,34,8,3,3,2,1
Alabama,,X,X,,,,
Arizona/a,,X,,X,,,
Arkansas/b,,X,X,,,,
California,,X,,,,,
Colorado,,X,,,,,
Delaware/c,,X,,,X,,
Florida,,X,X,,,,
Georgia,,X,,,,,
Idaho,,X,,,,,
Indiana,,X,,,,,
Kansas,,X,,,,,
Kentucky/d,,X,X,,,,
Louisiana,,X,,,,,
Mississippi,,X,,,,,
Missouri,,X,,X,,,
Montana,,X,,,,,
Nebraska,,X,,,,,
Nevada,,X,,,,,
New Hampshire/e,,X,,,X,,
New Mexico/f,,X,,,,,
New York,,X,,,,,
North Carolina,,X,,,,,
Ohio,,X,,,,,
Oklahoma/g,,X,X,,,X,X
Oregon,,X,,,,,
Pennsylvania,,X,,,,,
South Carolina,,X,X,,,,
South Dakota,,X,,,,,
Tennessee/h,,X,X,,,,
Texas,,X,,,,,
Utah/i,,X,,,,X,
Virginia,,X,X,,,,
Washington,,X,,,X,,
Wyoming/j,,X,,X,,,
"Note: The method of execution of federal prisoners is lethal injection, pursuant to 28 C.F.R. Part 26. For offenses prosecuted under the Violent Crime Control and Law Enforcement Act of 1994, the execution method is that of the state in which the conviction took place (18 U.S.C. 3596).",,,,,,,
"a/Authorizes lethal injection for persons sentenced after November 23,1992; inmates sentenced before that date may select lethal injection or gas.",,,,,,,
"b/Authorizes lethal injection for those whose offense occurred on or after July 4, 1983; inmates whose offense occurred before that date may select lethal injection or electrocution. Electrocution is the authorized method of use if lethal injection is invalidated by an unappealable court order.",,,,,,,
c/Authorizes hanging if lethal injection is held to be unconstitutional by a court of competent jurisdiction.,,,,,,,
"d/Authorizes lethal injection for persons sentenced on or after March 31, 1998; inmates sentenced before that date may select lethal injection or electrocution.",,,,,,,
e/Authorizes hanging only if lethal injection cannot be given.,,,,,,,
"f/Authorizes lethal injection for those whose capital offense occurred prior to July 1, 2009.",,,,,,,
"g/Authorizes nitrogen hypoxia if lethal injection is held to be unconstitutional, electrocution if both lethal injection and nitrogen hypoxia are held to be unconstitutional, and firing squad if all other methods are held to be unconstitutional.",,,,,,,
"h/Authorizes lethal injection for those whose capital offense occurred after December 31, 1998; inmates whose offense occurred before that date may select electrocution by written waiver. Electrocution is the authorized method if a court or the commissioner of corrections determines that lethal injection cannot be given.",,,,,,,
"i/Authorizes firing squad if lethal injection is held unconstitutional. Inmates who selected execution by firing squad prior to May 3, 2004, may still be entitled to execution by that method.",,,,,,,
j/Authorizes lethal gas if lethal injection is held to be unconstitutional.,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,,
