Bureau of Justice Statistics,,,,
Filename: cp16sbat04.csv,,,,
"Appendix table 4. Numbers for figure 1: Number of prisoners under sentence of death, 1953–2016",,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,
Date of version: 4/30/2018,,,,
 ,,,,
"Appendix table 4. Numbers for figure 1: Number of prisoners under sentence of death, 1953–2016",,,,
Year,Number,,Year,Number
1953,131,,1985,"1,575"
1954,147,,1986,"1,800"
1955,125,,1987,"1,967"
1956,146,,1988,"2,117"
1957,151,,1989,"2,243"
1958,147,,1990,"2,346"
1959,164,,1991,"2,465"
1960,212,,1992,"2,580"
1961,257,,1993,"2,727"
1962,267,,1994,"2,905"
1963,297,,1995,"3,064"
1964,315,,1996,"3,242"
1965,331,,1997,"3,328"
1966,406,,1998,"3,465"
1967,435,,1999,"3,527"
1968,517,,2000,"3,601"
1969,575,,2001,"3,577"
1970,631,,2002,"3,562"
1971,642,,2003,"3,377"
1972,334,,2004,"3,320"
1973,134,,2005,"3,245"
1974,244,,2006,"3,228"
1975,488,,2007,"3,215"
1976,420,,2008,"3,210"
1977,423,,2009,"3,173"
1978,482,,2010,"3,139"
1979,593,,2011,"3,065"
1980,692,,2012,"3,011"
1981,860,,2013,"2,983"
1982,"1,066",,2014,"2,942"
1983,"1,209",,2015,"2,872"
1984,"1,420",,2016,"2,814"
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1953–2016.",,,,
