Bureau of Justice Statistics,,,,
Filename: cp16sbat06.csv,,,,
"Appendix table 6. Numbers for figure 3: Number of prisoners executed under civil authority in the United States, 1930–2016",,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,
Date of version: 4/30/2018,,,,
 ,,,,
"Appendix table 6. Numbers for figure 3: Number of prisoners executed under civil authority in the United States, 1930–2016",,,,
Year,Executions,,Year,Executions
1930,155,,1974,0
1931,153,,1975,0
1932,140,,1976,0
1933,160,,1977,1
1934,168,,1978,0
1935,199,,1979,2
1936,195,,1980,0
1937,147,,1981,1
1938,190,,1982,2
1939,160,,1983,5
1940,124,,1984,21
1941,123,,1985,18
1942,147,,1986,18
1943,131,,1987,25
1944,120,,1988,11
1945,117,,1989,16
1946,131,,1990,23
1947,153,,1991,14
1948,119,,1992,31
1949,119,,1993,38
1950,82,,1994,31
1951,105,,1995,56
1952,83,,1996,45
1953,62,,1997,74
1954,81,,1998,68
1955,76,,1999,98
1956,65,,2000,85
1957,65,,2001,66
1958,49,,2002,71
1959,49,,2003,65
1960,56,,2004,59
1961,42,,2005,60
1962,47,,2006,53
1963,21,,2007,42
1964,15,,2008,37
1965,7,,2009,52
1966,1,,2010,46
1967,2,,2011,43
1968,0,,2012,43
1969,0,,2013,39
1970,0,,2014,35
1971,0,,2015,28
1972,0,,2016,20
1973,0,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1930–2016.",,,,
