Bureau of Justice Statistics,,,
Filename: cp16sbat07.csv,,,
"Appendix table 7. Numbers for figure 4: Number of prisoners under sentence of death, by race, 1968–2016",,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,
Date of version: 4/30/2018,,,
 ,,,
"Appendix table 7. Numbers for figure 4: Number of prisoners under sentence of death, by race, 1968–2016",,,
Year,White,Black,All other races
1968,243,271,3
1969,263,310,2
1970,293,335,3
1971,306,332,4
1972,167,166,1
1973,64,68,2
1974,110,128,6
1975,218,262,8
1976,225,195,0
1977,229,192,2
1978,281,197,4
1979,354,236,3
1980,424,264,4
1981,499,353,8
1982,613,441,12
1983,692,505,12
1984,806,598,16
1985,896,664,15
1986,"1,013",762,25
1987,"1,128",813,26
1988,"1,235",848,34
1989,"1,308",898,37
1990,"1,368",940,38
1991,"1,449",979,37
1992,"1,511","1,031",38
1993,"1,575","1,111",41
1994,"1,653","1,203",49
1995,"1,732","1,284",48
1996,"1,833","1,358",51
1997,"1,864","1,408",56
1998,"1,917","1,489",59
1999,"1,960","1,515",65
2000,"1,989","1,541",71
2001,"1,968","1,538",71
2002,"1,931","1,554",72
2003,"1,883","1,417",78
2004,"1,856","1,390",74
2005,"1,802","1,366",77
2006,"1,806","1,353",74
2007,"1,806","1,338",71
2008,"1,795","1,343",72
2009,"1,779","1,318",76
2010,"1,743","1,309",87
2011,"1,721","1,274",70
2012,"1,684","1,258",69
2013,"1,670","1,251",62
2014,"1,647","1,233",62
2015,"1,606","1,202",64
2016,"1,560","1,189",65
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1968–2016.",,,
