Bureau of Justice Statistics,,,
Filename: cp16sbf04.csv,,,
"Figure 4. Number of prisoners under sentence of death, by race, 1968–2016",,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,
Date of version: 4/30/2018,,,
,,,
"Figure 4. Number of prisoners under sentence of death, by race, 1968–2016",,,
,,,
,White/a,Black/a,All other races/b
1968,243,271,3
,263,310,2
1970,293,335,3
,306,332,4
,167,166,1
,64,68,2
,110,128,6
,218,262,8
,225,195,0
,229,192,2
,281,197,4
,354,236,3
1980,424,264,4
,499,353,8
,613,441,12
,692,505,12
,806,598,16
,896,664,15
,"1,013",762,25
,"1,128",813,26
,"1,235",848,34
,"1,308",898,37
1990,"1,368",940,38
,"1,449",979,37
,"1,511","1,031",38
,"1,575","1,111",41
,"1,653","1,203",49
,"1,732","1,284",48
,"1,833","1,358",51
,"1,864","1,408",56
,"1,917","1,489",59
,"1,960","1,515",65
2000,"1,989","1,541",71
,"1,968","1,538",71
,"1,931","1,554",72
,"1,883","1,417",78
,"1,856","1,390",74
,"1,802","1,366",77
,"1,806","1,353",74
,"1,806","1,338",71
,"1,795","1,343",72
,"1,779","1,318",76
2010,"1,743","1,309",87
,"1,721","1,274",70
,"1,684","1,258",69
,"1,670","1,251",62
,"1,647","1,233",62
,"1,606","1,202",64
2016,"1,560","1,189",65
Note: See appendix table 7 for counts.,,,
a/Includes persons of Hispanic/Latino origin.,,,
"b/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and Other Pacific Islanders; and persons of Hispanic/Latino origin for whom no other race was identified.",,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1968–2016.",,,
