Bureau of Justice Statistics,,,,,,
Filename: cp16sbt01.csv,,,,,,
"Table 1. Status of the death penalty, December 31, 2016",,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,
Date of version: 4/30/2018,,,,,,
,,,,,,
"Table 1. Status of the death penalty, December 31, 2016",,,,,,
Executions in 2016,,,Number of prisoners under sentence of death,,,Jurisdictions without death penalty
Georgia,9,,California,742,,Alaska
Texas,7,,Florida,382,,Connecticut
Alabama,2,,Texas,244,,District of Columbia
Florida,1,,Alabama,183,,Hawaii
Missouri,1,,Pennsylvania,174,,Illinois
,,,North Carolina,150,,Iowa
,,,Ohio,140,,Maine
,,,Arizona,118,,Maryland
,,,Nevada,83,,Massachusetts
,,,Louisiana,73,,Michigan
,,,Tennessee,63,,Minnesota
,,,Georgia,58,,New Jersey
,,,Federal Bureau of Prisons,58,,North Dakota
,,,Mississippi,47,,Rhode Island
,,,Oklahoma,46,,Vermont
,,,18 other jurisdictions*,253,,West Virginia
Total,20,,Total,"2,814",,
"*New Mexico repealed the death penalty for offenses committed on or after July 1, 2009. As of December 31, 2016, two males in New Mexico were under previously imposed death sentences.",,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,
