0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat01.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Capital offenses, by state, 2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Capital offenses, by state, 2016",,,,,,,,,,,,,,,,,,,,
State,Offenses,,,,,,,,,,,,,,,,,,,
Alabama,Intentional murder (Ala. Stat. Ann. 13A-5-40(a)(1)-(18)) with 10 aggravating factors (Ala. Stat. Ann. 13A-5-49).,,,,,,,,,,,,,,,,,,,
Arizona,"First-degree murder, including premeditated murder and felony murder, accompanied by at least 1 of 14 aggravating factors (A.R.S. § 13-703(F)).",,,,,,,,,,,,,,,,,,,
Arkansas,Capital murder (Ark. Code Ann. § 5-10-101) with a finding of at least 1 of 10 aggravating circumstances; treason (Ark. Code Ann. § 5-51-201).,,,,,,,,,,,,,,,,,,,
California,First-degree murder with special circumstances; military sabotage; death in the course of train wrecking; treason; perjury resulting in execution of an innocent person; fatal assault by a prisoner serving a life sentence.,,,,,,,,,,,,,,,,,,,
Colorado,First-degree murder with at least 1 of 17 aggravating factors; first-degree kidnapping resulting in death; treason. ,,,,,,,,,,,,,,,,,,,
Delaware,First-degree murder (11 Del. C. § 636) with at least one statutory aggravating circumstance (11 Del. C. § 4209).,,,,,,,,,,,,,,,,,,,
Florida,First-degree murder with aggravating factors; felony murder.,,,,,,,,,,,,,,,,,,,
Georgia,"Murder with aggravating circumstances; rape, armed robbery, or kidnapping with bodily injury or ransom when the victim dies; aircraft hijacking; treason (O.C.G.A. § 17-10-30).",,,,,,,,,,,,,,,,,,,
Idaho,First-degree murder with aggravating factors; first-degree kidnapping; perjury resulting in the execution of an innocent person.,,,,,,,,,,,,,,,,,,,
Indiana,Murder with 18 aggravating circumstances (I.C. 35-50-2-9).,,,,,,,,,,,,,,,,,,,
Kansas,Intentional and premeditated killing of a person in one or more of seven different circumstances (K.S.A. 21-5401).,,,,,,,,,,,,,,,,,,,
Kentucky,Capital murder with the presence of at least one statutory aggravating circumstance; capital kidnapping (K.R.S. 532.025).,,,,,,,,,,,,,,,,,,,
Louisiana,First-degree murder with aggravating circumstances (La. R.S. 14:30); treason (La. R.S. 14:113).,,,,,,,,,,,,,,,,,,,
Mississippi,Capital murder with aggravating circumstances (Miss. Code Ann. § 97-3-19(2)); aircraft piracy (Miss. Code Ann. § 97-25-55(1)).,,,,,,,,,,,,,,,,,,,
Missouri,First-degree murder with at least 1 statutory aggravating circumstance (565.020 R.S.M.O. 2000).,,,,,,,,,,,,,,,,,,,
Montana,Capital murder with one of nine aggravating circumstances (Mont. Code Ann. § 46-18-303); aggravated kidnapping; felony murder; capital sexual intercourse without consent (Mont. Code Ann. § 45-5-503).,,,,,,,,,,,,,,,,,,,
Nebraska,First-degree murder with a finding of one or more statutory aggravating circumstances.,,,,,,,,,,,,,,,,,,,
Nevada,"First-degree murder with at least 1 of 15 aggravating circumstances (N.R.S. 200.030, 200.033, 200.035).",,,,,,,,,,,,,,,,,,,
New Hampshire,"Murder committed in the course of rape, kidnapping, drug crimes, or home invasion; killing of a police officer, judge, or prosecutor; murder for hire; murder by an inmate while serving a sentence of life without parole (R.S.A. 630:1, R.S.A. 630:5). ",,,,,,,,,,,,,,,,,,,
